ano;ente;cod_uf;sig_uf;cod_ibge;nom_ente;rectot_fundeb;transf_fundeb;compl_uni;compl_vaaf;compl_vaat;compl_vaar;royalty_educ;contrib_fundeb;impadd_fundeb;impadd_mde;sal_educ;prog_fnde;outrec_educ;recadd_educ;rectot_educ;defla_ipca;mat_censo
2025;Municipal;31;MG;310010;Abadia dos Dourados;3.764.247,48;3.764.247,48;0,00;0,00;0,00;0,00;0,00;5.619.874,57;1.404.968,64;461.484,38;249.232,30;223.369,13;695.922,57;3.034.977,02;6.799.224,50;1,00;541,00
2025;Municipal;31;MG;310020;Abaeté;16.780.520,13;15.815.522,00;964.998,13;0,00;964.998,13;0,00;0,00;10.792.607,55;2.698.151,89;2.529.956,49;942.502,30;2.035.928,78;430.998,68;8.637.538,13;25.418.058,26;1,00;1.905,00
2025;Municipal;31;MG;310030;Abre Campo;6.315.229,09;6.046.053,76;269.175,33;0,00;0,00;269.175,33;0,00;7.807.679,12;1.951.919,78;1.217.659,95;339.723,98;836.542,22;1.510.845,93;5.856.691,86;12.171.920,95;1,00;671,00
2025;Municipal;31;MG;310040;Acaiaca;3.351.240,49;3.351.240,49;0,00;0,00;0,00;0,00;0,00;4.285.804,05;1.071.451,01;248.301,43;201.573,32;182.286,71;446.537,75;2.150.150,22;5.501.390,71;1,00;383,00
2025;Municipal;31;MG;310050;Açucena;4.314.038,08;4.295.925,34;18.112,74;0,00;0,00;18.112,74;0,00;4.877.408,72;1.219.352,18;558.034,18;266.797,16;172.868,13;2.404.580,33;4.621.631,98;8.935.670,06;1,00;451,00
2025;Municipal;31;MG;310060;Água Boa;6.283.523,30;6.170.808,39;112.714,91;0,00;112.714,91;0,00;0,00;7.011.470,02;1.752.867,51;875.740,84;380.868,70;923.691,94;5.479.932,74;9.413.101,72;15.696.625,02;1,00;675,00
2025;Municipal;31;MG;310070;Água Comprida;1.609.382,66;1.609.382,66;0,00;0,00;0,00;0,00;0,00;6.025.183,36;1.506.295,84;1.203.438,54;113.545,66;28.110,00;0,00;2.851.390,04;4.460.772,70;1,00;263,00
2025;Municipal;31;MG;310080;Aguanil;4.577.233,26;4.577.233,26;0,00;0,00;0,00;0,00;0,00;4.484.243,76;1.121.060,94;282.777,68;251.357,37;83.613,68;258.245,21;1.997.054,88;6.574.288,14;1,00;484,00
2025;Municipal;31;MG;310090;Águas Formosas;9.686.865,70;9.686.865,70;0,00;0,00;0,00;0,00;0,00;9.056.290,28;2.264.072,57;1.410.134,33;558.673,93;362.885,39;3.026.646,79;7.622.413,01;17.309.278,71;1,00;1.073,00
2025;Municipal;31;MG;310100;Águas Vermelhas;15.575.444,55;12.885.942,69;2.689.501,86;0,00;2.663.530,92;25.970,94;0,00;7.157.399,01;1.789.349,75;609.963,48;726.506,21;987.657,45;1.165.166,29;5.278.643,18;20.854.087,73;1,00;1.440,00
2025;Municipal;31;MG;310110;Aimorés;19.161.498,34;18.274.324,21;887.174,13;0,00;340.778,08;546.396,05;0,00;11.409.740,73;2.852.435,18;2.829.358,00;1.108.514,69;820.869,05;2.750.063,64;10.361.240,56;29.522.738,90;1,00;2.080,00
2025;Municipal;31;MG;310120;Aiuruoca;3.438.586,07;3.339.331,49;99.254,58;0,00;0,00;99.254,58;0,00;4.759.961,32;1.189.990,33;497.059,09;215.333,48;178.509,30;474.540,00;2.555.432,20;5.994.018,27;1,00;391,00
2025;Municipal;31;MG;310130;Alagoa;2.743.010,07;2.659.267,67;83.742,40;0,00;0,00;83.742,40;0,00;4.592.774,90;1.148.193,73;319.489,04;201.254,21;84.233,52;158.398,78;1.911.569,28;4.654.579,35;1,00;338,00
2025;Municipal;31;MG;310140;Albertina;4.803.681,40;4.785.154,27;18.527,13;0,00;0,00;18.527,13;0,00;5.113.718,20;1.278.429,55;409.767,31;280.490,80;86.190,18;22.663,28;2.077.541,12;6.881.222,52;1,00;553,00
2025;Municipal;31;MG;310150;Além Paraíba;27.290.298,79;26.966.776,36;323.522,43;0,00;323.522,43;0,00;0,00;15.631.091,90;3.907.772,98;2.623.683,97;1.471.633,03;1.570.245,82;460.721,28;10.034.057,08;37.324.355,87;1,00;2.719,00
2025;Municipal;31;MG;310160;Alfenas;52.909.571,03;52.909.571,03;0,00;0,00;0,00;0,00;0,00;34.758.655,51;8.689.663,88;18.989.306,76;3.080.130,41;1.913.815,40;718.974,60;33.391.891,05;86.301.462,08;1,00;6.589,00
2025;Municipal;31;MG;310163;Alfredo Vasconcelos;4.499.204,69;4.366.009,94;133.194,75;0,00;0,00;133.194,75;2.034.268,93;4.651.481,11;1.162.870,28;672.590,20;289.895,54;63.510,41;595.303,50;2.784.169,93;7.283.374,62;1,00;565,00
2025;Municipal;31;MG;310170;Almenara;37.846.652,63;35.819.174,57;2.027.478,06;0,00;236.737,67;1.790.740,39;0,00;15.523.581,75;3.880.895,44;5.073.777,53;2.298.156,12;1.119.398,49;3.561.693,66;15.933.921,24;53.780.573,87;1,00;4.451,00
2025;Municipal;31;MG;310180;Alpercata;6.971.429,32;6.971.429,32;0,00;0,00;0,00;0,00;0,00;4.592.452,00;1.148.113,00;747.677,82;444.998,64;118.428,00;801.983,06;3.261.200,52;10.232.629,84;1,00;877,00
2025;Municipal;31;MG;310190;Alpinópolis;11.656.439,75;11.610.774,50;45.665,25;0,00;0,00;45.665,25;0,00;10.806.378,22;2.701.594,56;1.989.081,76;693.248,96;323.817,78;825.823,93;6.533.566,98;18.190.006,73;1,00;1.420,00
2025;Municipal;31;MG;310200;Alterosa;11.833.034,42;11.498.997,86;334.036,56;0,00;0,00;334.036,56;0,00;7.910.741,51;1.977.685,38;1.137.902,65;769.536,52;263.092,43;785.887,95;4.934.104,93;16.767.139,35;1,00;1.442,00
2025;Municipal;31;MG;310205;Alto Caparaó;5.708.202,32;5.708.202,32;0,00;0,00;0,00;0,00;0,00;4.497.549,14;1.124.387,29;531.251,65;368.346,52;197.690,11;193.683,56;2.415.359,13;8.123.561,45;1,00;727,00
2025;Municipal;31;MG;310210;Alto Rio Doce;6.197.107,37;6.197.107,37;0,00;0,00;0,00;0,00;0,00;5.909.083,34;1.477.270,84;541.022,57;387.457,80;159.153,64;1.470.477,92;4.035.382,76;10.232.490,13;1,00;803,00
2025;Municipal;31;MG;310220;Alvarenga;3.553.090,57;3.553.090,57;0,00;0,00;0,00;0,00;0,00;3.457.641,50;864.410,38;41.813,20;195.703,17;105.368,85;586.756,96;1.794.052,56;5.347.143,13;1,00;403,00
2025;Municipal;31;MG;310230;Alvinópolis;9.712.566,24;8.609.974,13;1.102.592,11;0,00;1.102.592,11;0,00;0,00;8.056.541,12;2.014.135,28;942.539,82;333.714,78;235.684,99;844.982,06;4.371.056,93;14.083.623,17;1,00;756,00
