UF;nom_mun;ano;transferencia;VL_CONSOLIDADO;cod_ibge
MG;Minas Gerais;2007;FUNDEB - FPE;160653935;31
MG;Minas Gerais;2007;FUNDEB - FPM;495962363,5;31
MG;Minas Gerais;2007;FUNDEB - ICMS;1816182637;31
MG;Minas Gerais;2007;FUNDEB - IPI-EXP;34466929,27;31
MG;Minas Gerais;2007;FUNDEB - IPVA;60907818,49;31
MG;Minas Gerais;2007;FUNDEB - ITCMD;4705277,6;31
MG;Minas Gerais;2007;FUNDEB - ITR;743443,46;31
MG;Minas Gerais;2007;FUNDEB - LC 87;23629280,53;31
MG;Minas Gerais;2008;FUNDEB - FPE;217027019,8;31
MG;Minas Gerais;2008;FUNDEB - FPM;669506897,1;31
MG;Minas Gerais;2008;FUNDEB - ICMS;2394339173;31
MG;Minas Gerais;2008;FUNDEB - IPI-EXP;44754002,01;31
MG;Minas Gerais;2008;FUNDEB - IPVA;142273204,8;31
MG;Minas Gerais;2008;FUNDEB - ITCMD;12016763,2;31
MG;Minas Gerais;2008;FUNDEB - ITR;1754507,7;31
MG;Minas Gerais;2008;FUNDEB - LC 87;26107766,34;31
MG;Minas Gerais;2009;FUNDEB - FPE;231006260,1;31
MG;Minas Gerais;2009;FUNDEB - FPM;711252050,2;31
MG;Minas Gerais;2009;FUNDEB - ICMS;2597439494;31
MG;Minas Gerais;2009;FUNDEB - IPI-EXP;38981275,86;31
MG;Minas Gerais;2009;FUNDEB - IPVA;246099298,6;31
MG;Minas Gerais;2009;FUNDEB - ITCMD;23517742,43;31
MG;Minas Gerais;2009;FUNDEB - ITR;3982695,57;31
MG;Minas Gerais;2009;FUNDEB - LC 87;28833185,4;31
MG;Minas Gerais;2010;FUNDEB - FPE;244901345,3;31
MG;Minas Gerais;2010;FUNDEB - FPM;754210235,8;31
MG;Minas Gerais;2010;FUNDEB - ICMS;3064433620;31
MG;Minas Gerais;2010;FUNDEB - IPI-EXP;54969619,54;31
MG;Minas Gerais;2010;FUNDEB - IPVA;267740506,5;31
MG;Minas Gerais;2010;FUNDEB - ITCMD;30404151,23;31
MG;Minas Gerais;2010;FUNDEB - ITR;6568938,56;31
MG;Minas Gerais;2010;FUNDEB - LC 87;28360419,12;31
MG;Minas Gerais;2011;FUNDEB - FPE;298511654,5;31
MG;Minas Gerais;2011;FUNDEB - FPM;918829979,2;31
MG;Minas Gerais;2011;FUNDEB - ICMS;3268793917;31
MG;Minas Gerais;2011;FUNDEB - IPI-EXP;64458169,76;31
MG;Minas Gerais;2011;FUNDEB - IPVA;304232237,3;31
MG;Minas Gerais;2011;FUNDEB - ITCMD;42907141,56;31
MG;Minas Gerais;2011;FUNDEB - ITR;7042713,43;31
MG;Minas Gerais;2011;FUNDEB - LC 87;28063367,16;31
MG;Minas Gerais;2012;FUNDEB - FPE;307013274,2;31
MG;Minas Gerais;2012;FUNDEB - FPM;944924758,5;31
MG;Minas Gerais;2012;FUNDEB - ICMS;3554566560;31
MG;Minas Gerais;2012;FUNDEB - IPI-EXP;71411416,92;31
MG;Minas Gerais;2012;FUNDEB - IPVA;346598925,8;31
MG;Minas Gerais;2012;FUNDEB - ITCMD;62200103,98;31
MG;Minas Gerais;2012;FUNDEB - ITR;8050071,33;31
MG;Minas Gerais;2012;FUNDEB - LC 87;27992449,94;31
MG;Minas Gerais;2013;FUNDEB - FPE;325554886,3;31
MG;Minas Gerais;2013;FUNDEB - FPM;1001629213;31
MG;Minas Gerais;2013;FUNDEB - ICMS;3988270422;31
MG;Minas Gerais;2013;FUNDEB - IPI-EXP;71968178,43;31
MG;Minas Gerais;2013;FUNDEB - IPVA;371671501,3;31
MG;Minas Gerais;2013;FUNDEB - ITCMD;59165558,09;31
MG;Minas Gerais;2013;FUNDEB - ITR;9179403,18;31
MG;Minas Gerais;2013;FUNDEB - LC 87;27600534,82;31
MG;Minas Gerais;2014;FUNDEB - FPE;353506446,9;31
MG;Minas Gerais;2014;FUNDEB - FPM;1089295388;31
MG;Minas Gerais;2014;FUNDEB - ICMS;4188321121;31
MG;Minas Gerais;2014;FUNDEB - IPI-EXP;76457876,73;31
MG;Minas Gerais;2014;FUNDEB - IPVA;416010265,8;31
MG;Minas Gerais;2014;FUNDEB - ITCMD;69802758,25;31
MG;Minas Gerais;2014;FUNDEB - ITR;10136685,48;31
MG;Minas Gerais;2014;FUNDEB - LC 87;27502933,92;31
MG;Minas Gerais;2015;FUNDEB - FPE;366268282,7;31
MG;Minas Gerais;2015;FUNDEB - FPM;1127561015;31
MG;Minas Gerais;2015;FUNDEB - ICMS;4059565457;31
MG;Minas Gerais;2015;FUNDEB - IPI-EXP;73906739,57;31
MG;Minas Gerais;2015;FUNDEB - IPVA;462778618,2;31
MG;Minas Gerais;2015;FUNDEB - ITCMD;77164413,93;31
MG;Minas Gerais;2015;FUNDEB - ITR;11117453,4;31
MG;Minas Gerais;2015;FUNDEB - LC 87;27087692,88;31
MG;Minas Gerais;2016;FUNDEB - FPE;414640907,7;31
MG;Minas Gerais;2016;FUNDEB - FPM;1275729379;31
MG;Minas Gerais;2016;FUNDEB - ICMS;4394130236;31
MG;Minas Gerais;2016;FUNDEB - IPI-EXP;54355892,64;31
MG;Minas Gerais;2016;FUNDEB - IPVA;505783212,3;31
MG;Minas Gerais;2016;FUNDEB - ITCMD;84094517;31
MG;Minas Gerais;2016;FUNDEB - ITR;11005916,4;31
MG;Minas Gerais;2016;FUNDEB - LC 87;26741434,08;31
MG;Minas Gerais;2017;FUNDEB - COUN;0;31
MG;Minas Gerais;2017;FUNDEB - FPE;399635424,6;31
MG;Minas Gerais;2017;FUNDEB - FPM;1234068378;31
MG;Minas Gerais;2017;FUNDEB - ICMS;4637836615;31
MG;Minas Gerais;2017;FUNDEB - IPI-EXP;61675639,11;31
MG;Minas Gerais;2017;FUNDEB - IPVA;532836686;31
