UF;nom_mun;Ano;transferencia;VL_CONSOLIDADO;cod_ibge;Código SIAFI
MG;Abadia dos Dourados;2025;AJUSTE FUNDEB - FPE;-9,95;3100104;4001
MG;Abadia dos Dourados;2025;AJUSTE FUNDEB - FPM;-29,88;3100104;4001
MG;Abadia dos Dourados;2025;AJUSTE FUNDEB - ICME;-97,31;3100104;4001
MG;Abadia dos Dourados;2025;AJUSTE FUNDEB - IPIE;-0,92;3100104;4001
MG;Abadia dos Dourados;2025;AJUSTE FUNDEB - IPVA;-15,03;3100104;4001
MG;Abadia dos Dourados;2025;AJUSTE FUNDEB - ITCMD;-2,52;3100104;4001
MG;Abadia dos Dourados;2025;AJUSTE FUNDEB - ITR;-0,31;3100104;4001
MG;Abadia dos Dourados;2025;FUNDEB - FPE;235848,61;3100104;4001
MG;Abadia dos Dourados;2025;FUNDEB - FPM;726580,3;3100104;4001
MG;Abadia dos Dourados;2025;FUNDEB - FUNDEB - FTI;68193,63;3100104;4001
MG;Abadia dos Dourados;2025;FUNDEB - ICMS;2303682,3;3100104;4001
MG;Abadia dos Dourados;2025;FUNDEB - IPI-EXP;29324,78;3100104;4001
MG;Abadia dos Dourados;2025;FUNDEB - IPVA;334553,08;3100104;4001
MG;Abadia dos Dourados;2025;FUNDEB - ITCMD;57902,67;3100104;4001
MG;Abadia dos Dourados;2025;FUNDEB - ITR;8318,03;3100104;4001
MG;Abaeté;2025;AJUSTE FUNDEB - FPE;-36,76;3100203;4003
MG;Abaeté;2025;AJUSTE FUNDEB - FPM;-110,16;3100203;4003
MG;Abaeté;2025;AJUSTE FUNDEB - ICME;-358,77;3100203;4003
MG;Abaeté;2025;AJUSTE FUNDEB - IPIE;-3,41;3100203;4003
MG;Abaeté;2025;AJUSTE FUNDEB - IPVA;-55,08;3100203;4003
MG;Abaeté;2025;AJUSTE FUNDEB - ITCMD;-9,28;3100203;4003
MG;Abaeté;2025;AJUSTE FUNDEB - ITR;-1,2;3100203;4003
MG;Abaeté;2025;FUNDEB - COUN VAAT;964998,13;3100203;4003
